open_time,open,high,low,close,volume
2026-06-29T02:00:00+00:00,59389.45000000,59800.00000000,58922.52000000,59752.88000000,2.84790000
2026-06-29T03:00:00+00:00,59773.36000000,60219.65000000,59773.36000000,60053.83000000,2.14552000
2026-06-29T04:00:00+00:00,60068.53000000,60068.53000000,59786.33000000,59828.64000000,0.25996000
2026-06-29T05:00:00+00:00,59856.78000000,60075.00000000,59400.00000000,60075.00000000,0.50445000
2026-06-29T06:00:00+00:00,60095.32000000,60347.41000000,60058.77000000,60089.80000000,0.24739000
2026-06-29T07:00:00+00:00,60054.00000000,60174.38000000,59951.06000000,60113.72000000,0.08368000
2026-06-29T08:00:00+00:00,60031.15000000,60080.21000000,59779.13000000,59835.13000000,0.34822000
2026-06-29T09:00:00+00:00,59841.53000000,60084.83000000,59813.72000000,60043.43000000,0.12264000
2026-06-29T10:00:00+00:00,60075.00000000,60304.43000000,60075.00000000,60096.68000000,0.60920000
2026-06-29T11:00:00+00:00,60087.09000000,60150.11000000,59826.17000000,59951.06000000,0.54724000
2026-06-29T12:00:00+00:00,59967.42000000,60767.22000000,59591.56000000,59977.32000000,1.85918000
2026-06-29T13:00:00+00:00,59972.81000000,60332.35000000,59355.47000000,59563.49000000,1.62588000
2026-06-29T14:00:00+00:00,59557.84000000,59668.15000000,59023.26000000,59426.24000000,1.65626000
2026-06-29T15:00:00+00:00,59417.22000000,59939.60000000,59108.05000000,59912.73000000,1.31840000
2026-06-29T16:00:00+00:00,59810.90000000,59994.38000000,59591.10000000,59865.65000000,0.30626000
2026-06-29T17:00:00+00:00,59910.05000000,60672.38000000,59910.05000000,60390.32000000,1.00821000
2026-06-29T18:00:00+00:00,60383.33000000,60524.01000000,60184.29000000,60262.60000000,0.61979000
2026-06-29T19:00:00+00:00,60280.65000000,60551.74000000,60154.39000000,60440.48000000,1.49918000
2026-06-29T20:00:00+00:00,60422.92000000,60527.56000000,60298.91000000,60298.91000000,1.57804000
2026-06-29T21:00:00+00:00,60289.47000000,60570.00000000,60260.45000000,60510.38000000,0.51162000
2026-06-29T22:00:00+00:00,60476.76000000,60496.45000000,60352.80000000,60368.74000000,0.52613000
2026-06-29T23:00:00+00:00,60361.87000000,60374.45000000,60208.50000000,60253.78000000,0.30335000
2026-06-30T00:00:00+00:00,60222.39000000,60248.10000000,59692.60000000,59841.27000000,6.81918000
2026-06-30T01:00:00+00:00,59848.94000000,60044.23000000,59776.80000000,59926.53000000,1.09400000
2026-06-30T02:00:00+00:00,59940.29000000,60023.03000000,59761.15000000,60007.82000000,0.24297000
2026-06-30T03:00:00+00:00,59947.31000000,60009.62000000,59599.27000000,59615.10000000,0.23370000
2026-06-30T04:00:00+00:00,59622.94000000,59705.67000000,59438.97000000,59496.44000000,0.70740000
2026-06-30T05:00:00+00:00,59498.34000000,59652.06000000,59370.91000000,59652.06000000,0.16853000
2026-06-30T06:00:00+00:00,59652.07000000,59693.71000000,59528.77000000,59562.99000000,0.13790000
2026-06-30T07:00:00+00:00,59627.42000000,59627.42000000,59454.20000000,59530.02000000,0.35906000
2026-06-30T08:00:00+00:00,59540.66000000,59555.23000000,59200.77000000,59281.19000000,0.17154000
2026-06-30T09:00:00+00:00,59304.21000000,59410.93000000,59258.44000000,59387.08000000,0.61493000
2026-06-30T10:00:00+00:00,59391.45000000,59400.88000000,59301.03000000,59350.50000000,0.17556000
2026-06-30T11:00:00+00:00,59342.36000000,59403.05000000,59135.51000000,59186.46000000,5.38787000
2026-06-30T12:00:00+00:00,59167.17000000,59167.17000000,58406.52000000,58406.52000000,2.90411000
2026-06-30T13:00:00+00:00,58416.29000000,58762.25000000,58280.00000000,58681.65000000,4.63318000
2026-06-30T14:00:00+00:00,58730.31000000,59245.83000000,58452.99000000,58500.00000000,3.32097000
2026-06-30T15:00:00+00:00,58484.90000000,58801.37000000,58206.63000000,58373.05000000,1.00188000
